smiles,h50(exp),h50(calc)
O=C(CCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])NCNC(=O)CCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],113,90
CN(CCN[N+](=O)[O-])[N+](=O)[O-],114,52
O=[N+]([O-])c1cc([N+](=O)[O-])c(CCc2c([N+](=O)[O-])cc([N+](=O)[O-])cc2[N+](=O)[O-])c([N+](=O)[O-])c1,114,66
Cn1nc([N+](=O)[O-])c(-c2c([N+](=O)[O-])cc([N+](=O)[O-])cc2[N+](=O)[O-])c1[N+](=O)[O-],118,55
O=C(CCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])OCCOC(=O)CCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],120,92
Nc1nonc1Nc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],120,88
Nc1c([N+](=O)[O-])c(N)c([N+](=O)[O-])c(O)c1[N+](=O)[O-],120,124
CC(=O)CCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],125,99
Nc1c([N+](=O)[O-])cc([N+](=O)[O-])c(Nc2c([N+](=O)[O-])cc([N+](=O)[O-])c(N)c2[N+](=O)[O-])c1[N+](=O)[O-],132,68
Cc1c([N+](=O)[O-])cc([N+](=O)[O-])c(-c2c([N+](=O)[O-])cc([N+](=O)[O-])c(C)c2[N+](=O)[O-])c1[N+](=O)[O-],135,66
O=[N+]([O-])c1cc([N+](=O)[O-])c(-n2nc(-c3nc([N+](=O)[O-])n(-c4c([N+](=O)[O-])cc([N+](=O)[O-])cc4[N+](=O)[O-])n3)nc2[N+](=O)[O-])c([N+](=O)[O-])c1,138,50
CC(CCN(C(=O)OCC(COC(=O)N(CCC(C)([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],138,52
CCC(CCC(=O)OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],138,76
Nc1c([N+](=O)[O-])cc([N+](=O)[O-])c(O)c1[N+](=O)[O-],138,80
N#Cc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],140,53
Cc1c([N+](=O)[O-])ccc(-c2c([N+](=O)[O-])cc([N+](=O)[O-])cc2[N+](=O)[O-])c1[N+](=O)[O-],143,83
CC(COC(=O)CCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],151,52
O=[N+]([O-])c1n[nH]c(-c2nc([N+](=O)[O-])n[nH]2)n1,153,284
Cn1c([N+](=O)[O-])nnc1[N+](=O)[O-],155,114
Cc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],160,82
O=[N+]([O-])c1cc([N+](=O)[O-])c(-c2[nH]cnc2[N+](=O)[O-])c([N+](=O)[O-])c1,161,71
COCN(CN(CN(COC)[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],166,98
Nc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],177,68
Cc1c([N+](=O)[O-])cc([N+](=O)[O-])c(O)c1[N+](=O)[O-],191,94
COc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],192,92
O=[N+]([O-])c1cc([N+](=O)[O-])c(Nc2cccc(Nc3c([N+](=O)[O-])cc([N+](=O)[O-])cc3[N+](=O)[O-])n2)c([N+](=O)[O-])c1,192,141
O=[N+]([O-])c1cc([N+](=O)[O-])c(-n2nccn2)c([N+](=O)[O-])c1,200,157
O=[N+]([O-])c1cc([N+](=O)[O-])c(Nc2nc(Nc3cc([N+](=O)[O-])cc([N+](=O)[O-])c3[N+](=O)[O-])c([N+](=O)[O-])c(Nc3c([N+](=O)[O-])cc([N+](=O)[O-])cc3[N+](=O)[O-])n2)c([N+](=O)[O-])c1,201,64
CC(COC(=O)c1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],214,57
CC(COC(=O)C(=O)OCC(C)([N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],227,115
Nc1n[nH]c(Nc2c([N+](=O)[O-])cc([N+](=O)[O-])cc2[N+](=O)[O-])n1,230,323
O=[N+]([O-])c1cc([N+](=O)[O-])c(Nc2n[nH]c(Nc3c([N+](=O)[O-])cc([N+](=O)[O-])cc3[N+](=O)[O-])n2)c([N+](=O)[O-])c1,240,104
Cn1nc([N+](=O)[O-])c(Nc2c([N+](=O)[O-])cc([N+](=O)[O-])cc2[N+](=O)[O-])c1[N+](=O)[O-],274,73
CC(C)(COC(=O)CCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],279,176
O=c1[nH]nc([N+](=O)[O-])[nH]1,291,566
O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1O,296,214
CC(COC(=O)OCC(C)([N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],300,90
O=[N+]([O-])c1cc([N+](=O)[O-])c(-c2cnn(-c3c([N+](=O)[O-])cc([N+](=O)[O-])cc3[N+](=O)[O-])c2)c([N+](=O)[O-])c1,314,75
O=[N+]([O-])c1cc([N+](=O)[O-])c(Nn2cnnc2)c([N+](=O)[O-])c1,314,228
O=[N+]([O-])c1cc([N+](=O)[O-])c(-n2ccnc2)c([N+](=O)[O-])c1,314,188
Nc1c([N+](=O)[O-])cc([N+](=O)[O-])c(N)c1[N+](=O)[O-],320,108
O=[N+]([O-])OCC(O[N+](=O)[O-])C(CO[N+](=O)[O-])O[N+](=O)[O-],6,11
O=[N+]([O-])C(CC#CCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],7,14
O=[N+]([O-])N1CC(N(F)F)(N(F)F)CN([N+](=O)[O-])CC(N(F)F)(N(F)F)C1,8,11
Cc1c([N+]#N)c([O-])c([N+](=O)[O-])c([N+](=O)[O-])c1[N+](=O)[O-],8,26
N#[N+]c1cc([N+](=O)[O-])c(Cl)c([N+](=O)[O-])c1[O-],8,27
N#[N+]c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1[O-],9,27
O=[N+]([O-])c1cc([N+](=O)[O-])c(-n2ccnn2)c([N+](=O)[O-])c1,10,52
O=[N+]([O-])N(CCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])CC(CN(CCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],11,15
O=[N+]([O-])c1cc([N+](=O)[O-])c([N+](=O)[O-])c([N+](=O)[O-])c1[N+](=O)[O-],11,11
O=C1N([N+](=O)[O-])C2C(C3C2N([N+](=O)[O-])C(=O)N3[N+](=O)[O-])N1[N+](=O)[O-],11,14
CC12N([N+](=O)[O-])C(=O)N([N+](=O)[O-])C1(C)N([N+](=O)[O-])C(=O)N2[N+](=O)[O-],11,19
O=[N+]([O-])c1cc([N+](=O)[O-])c(-n2nnc3ccccc32)c([N+](=O)[O-])c1,11,153
O=[N+]([O-])N1C2C3N([N+](=O)[O-])C1C1N([N+](=O)[O-])C(C(N1[N+](=O)[O-])N3[N+](=O)[O-])N2[N+](=O)[O-],13,7
O=[N+]([O-])OCCNc1c([N+](=O)[O-])cc([N+](=O)[O-])c(-c2nnc(-c3c([N+](=O)[O-])cc([N+](=O)[O-])c(NCCO[N+](=O)[O-])c3[N+](=O)[O-])o2)c1[N+](=O)[O-],13,47
O=C(CN(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])N(CN(C(=O)CN(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],15,13
Cc1cc([N+](=O)[O-])c([N+](=O)[O-])c([N+](=O)[O-])c1[N+](=O)[O-],15,35
[N-]=[N+]=Nc1c([N+](=O)[O-])c([N+](=O)[O-])c([N+](=O)[O-])c([N+](=O)[O-])c1[N+](=O)[O-],17,7
O=[N+]([O-])OCn1nnc([N+](=O)[O-])n1,17,11
CC(CN(CN(C(=O)OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],18,19
Cc1c([N+](=O)[O-])c([N+](=O)[O-])c([N+](=O)[O-])c([N+](=O)[O-])c1[N+](=O)[O-],18,19
Cc1c([N+](=O)[O-])c(N(C)[N+](=O)[O-])c([N+](=O)[O-])c([N+](=O)[O-])c1[N+](=O)[O-],18,27
O=[N+]([O-])N1CN([N+](=O)[O-])C2C1C1C2N([N+](=O)[O-])CN1[N+](=O)[O-],19,18
[N-]=[N+]=Nc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],19,18
Cc1c([N+](=O)[O-])cc([N+](=O)[O-])c([N+](=O)[O-])c1[N+](=O)[O-],19,34
Nc1c([N+](=O)[O-])c([N+](=O)[O-])c(-c2c([N+](=O)[O-])c([N+](=O)[O-])c(N)c([N+](=O)[O-])c2[N+](=O)[O-])c([N+](=O)[O-])c1[N+](=O)[O-],20,23
O=[N+]([O-])OCCNc1c([N+](=O)[O-])cc([N+](=O)[O-])c(N(CCO[N+](=O)[O-])[N+](=O)[O-])c1[N+](=O)[O-],20,30
Cc1c(N(C)[N+](=O)[O-])c([N+](=O)[O-])c([N+](=O)[O-])c([N+](=O)[O-])c1[N+](=O)[O-],21,28
O=C(OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])c1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],24,26
COC(=O)C12N([N+](=O)[O-])C(=O)N([N+](=O)[O-])C1(C(=O)OC)N([N+](=O)[O-])C(=O)N2[N+](=O)[O-],25,37
Cc1c([N+](=O)[O-])c([N+](=O)[O-])cc([N+](=O)[O-])c1[N+](=O)[O-],25,33
O=[N+]([O-])OCCNc1c([N+](=O)[O-])c(-c2nnc(-c3c([N+](=O)[O-])c(NCCO[N+](=O)[O-])c([N+](=O)[O-])c(N(CCO[N+](=O)[O-])[N+](=O)[O-])c3[N+](=O)[O-])o2)c([N+](=O)[O-])c(N(CCO[N+](=O)[O-])[N+](=O)[O-])c1[N+](=O)[O-],27,28
O=[N+]([O-])c1nonc1-c1no[n+]([O-])c1-c1nonc1[N+](=O)[O-],31,15
O=[N+]([O-])c1ccc(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])c([N+](=O)[O-])c1,31,31
Nc1c([N+](=O)[O-])cc([N+](=O)[O-])c(-n2ccnn2)c1[N+](=O)[O-],31,78
CN(c1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-])[N+](=O)[O-],32,29
C=Cc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],32,102
O=[N+]([O-])N1CCN([N+](=O)[O-])C2C1N([N+](=O)[O-])CCN2[N+](=O)[O-],35,24
Cc1c(N)c([N+](=O)[O-])c([N+](=O)[O-])c([N+](=O)[O-])c1[N+](=O)[O-],36,52
O=[N+]([O-])c1cc([N+](=O)[O-])c(/N=N/c2c([N+](=O)[O-])cc([N+](=O)[O-])cc2[N+](=O)[O-])c([N+](=O)[O-])c1,37,41
Cc1c([N+](=O)[O-])c(N)c([N+](=O)[O-])c([N+](=O)[O-])c1[N+](=O)[O-],37,51
O=[N+]([O-])c1cc([N+](=O)[O-])c(-n2nnc3cc4nnn(-c5c([N+](=O)[O-])cc([N+](=O)[O-])cc5[N+](=O)[O-])c4cc32)c([N+](=O)[O-])c1,38,53
O=[N+]([O-])OCC1OC2OC3C(CO[N+](=O)[O-])OC(OC1C(O[N+](=O)[O-])C2O[N+](=O)[O-])C(O[N+](=O)[O-])C3O[N+](=O)[O-],39,39
O=[N+]([O-])c1cc([N+](=O)[O-])c(Cc2c([N+](=O)[O-])cc([N+](=O)[O-])cc2[N+](=O)[O-])c([N+](=O)[O-])c1,39,46
O=[N+]([O-])c1cc([N+](=O)[O-])c(-n2nnc3cc([N+](=O)[O-])cc([N+](=O)[O-])c32)c([N+](=O)[O-])c1,40,37
O=[N+]([O-])c1cc([N+](=O)[O-])c(-n2nnc3cc4c(cc32)nnn4-c2c([N+](=O)[O-])cc([N+](=O)[O-])cc2[N+](=O)[O-])c([N+](=O)[O-])c1,40,53
O=[N+]([O-])OCCNc1c([N+](=O)[O-])c(NCCO[N+](=O)[O-])c([N+](=O)[O-])c(NCCO[N+](=O)[O-])c1[N+](=O)[O-],43,70
O=[N+]([O-])c1cc([N+](=O)[O-])c(CCl)c([N+](=O)[O-])c1,44,80
Cc1c([N+](=O)[O-])c([N+](=O)[O-])c(N)c([N+](=O)[O-])c1[N+](=O)[O-],47,50
Cn1c([N+](=O)[O-])nc([N+](=O)[O-])c1[N+](=O)[O-],49,41
O=C(CCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])OCC(COC(=O)CCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],50,46
Nc1c([N+](=O)[O-])c(N)c([N+](=O)[O-])c(NCCO[N+](=O)[O-])c1[N+](=O)[O-],50,104
O=[N+]([O-])c1cc([N+](=O)[O-])c(CO)c([N+](=O)[O-])c1,52,92
O=[N+]([O-])c1cn([N+](=O)[O-])cn1,55,22
Nc1c([N+](=O)[O-])c([N+](=O)[O-])c([N+](=O)[O-])c2no[n+]([O-])c12,56,32
Nc1c([N+](=O)[O-])c2no[n+]([O-])c2c2no[n+]([O-])c12,56,97
Cc1ccc([N+](=O)[O-])c([N+](=O)[O-])c1[N+](=O)[O-],56,85
O=[N+]([O-])C(F)(COCOCC(F)([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],60,43
O=C1NC2C(N([N+](=O)[O-])CN2[N+](=O)[O-])N1[N+](=O)[O-],61,20
O=[N+]([O-])OCCN(c1c([N+](=O)[O-])cc([N+](=O)[O-])c(/C=C/c2c([N+](=O)[O-])cc([N+](=O)[O-])cc2[N+](=O)[O-])c1[N+](=O)[O-])[N+](=O)[O-],61,32
CCOC(=O)C12N([N+](=O)[O-])C(=O)N([N+](=O)[O-])C1(C(=O)OCC)N([N+](=O)[O-])C(=O)N2[N+](=O)[O-],63,71
O=[N+]([O-])c1nc([N+](=O)[O-])c([N+](=O)[O-])[nH]1,68,19
O=[N+]([O-])c1cc([N+](=O)[O-])c(CCO)c([N+](=O)[O-])c1,68,165
COc1c([N+](=O)[O-])c(Cl)c([N+](=O)[O-])c(Cl)c1[N+](=O)[O-],75,89
O=[N+]([O-])c1cc([N+](=O)[O-])c2no[n+]([O-])c2c1,76,48
O=[N+]([O-])c1cc([N+](=O)[O-])c(Cl)c([N+](=O)[O-])c1,79,40
CC(=O)c1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],79,114
O=[N+]([O-])N=C1NCN([N+](=O)[O-])CN1,80,54
O=[N+]([O-])c1cc([N+](=O)[O-])c(-c2nc(-c3c([N+](=O)[O-])cc([N+](=O)[O-])cc3[N+](=O)[O-])nc(-c3c([N+](=O)[O-])cc([N+](=O)[O-])cc3[N+](=O)[O-])n2)c([N+](=O)[O-])c1,85,53
O=[N+]([O-])c1cc([N+](=O)[O-])c2n[n+]3c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4[n-]n3c2c1,85,159
O=[N+]([O-])OCCC(CCN(CCC(CCO[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],87,32
O=[N+]([O-])c1cc([N+](=O)[O-])c(-c2c([N+](=O)[O-])c(-c3c([N+](=O)[O-])cc([N+](=O)[O-])cc3[N+](=O)[O-])c([N+](=O)[O-])c(-c3c([N+](=O)[O-])cc([N+](=O)[O-])cc3[N+](=O)[O-])c2[N+](=O)[O-])c([N+](=O)[O-])c1,89,28
COC(=O)c1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],90,128
O=[N+]([O-])c1cc([N+](=O)[O-])c(-n2cnc3c([N+](=O)[O-])cc([N+](=O)[O-])cc32)c([N+](=O)[O-])c1,91,84
O=C1c2nn(-c3c([N+](=O)[O-])cc([N+](=O)[O-])cc3[N+](=O)[O-])nc2C(=O)c2nn(-c3c([N+](=O)[O-])cc([N+](=O)[O-])cc3[N+](=O)[O-])nc21,95,143
Nc1c([N+](=O)[O-])cc([N+](=O)[O-])c2no[n+]([O-])c12,100,80
Cc1c([N+](=O)[O-])cc([N+](=O)[O-])c(C)c1[N+](=O)[O-],100,150
O=[N+]([O-])c1cc([N+](=O)[O-])c(NC2N=CC=CN2c2c([N+](=O)[O-])cc([N+](=O)[O-])cc2[N+](=O)[O-])c([N+](=O)[O-])c1,106,127
Cc1cc([N+](=O)[O-])c([N+](=O)[O-])c([N+](=O)[O-])c1,107,85
Cc1c([N+](=O)[O-])c(C)c([N+](=O)[O-])c(C)c1[N+](=O)[O-],110,258
Nc1c([N+](=O)[O-])c(N)c2c(no[n+]2[O-])c1[N+](=O)[O-],120,130
Nc1c([N+](=O)[O-])cc([N+](=O)[O-])c(-c2c([N+](=O)[O-])cc([N+](=O)[O-])c(N)c2[N+](=O)[O-])c1[N+](=O)[O-],132,54
O=[N+]([O-])c1cc([N+](=O)[O-])c(Nc2nn(-c3c([N+](=O)[O-])cc([N+](=O)[O-])cc3[N+](=O)[O-])cc2[N+](=O)[O-])c([N+](=O)[O-])c1,149,56
Cn1nc([N+](=O)[O-])nc1[N+](=O)[O-],155,114
Nn1nc([N+](=O)[O-])cc1[N+](=O)[O-],158,114
Cc1c([N+](=O)[O-])cc([N+](=O)[O-])c(N)c1[N+](=O)[O-],174,126
N/C(=N\[N+](=O)[O-])n1nc([N+](=O)[O-])nc1N,188,129
CCOc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],190,165
Cc1c([N+](=O)[O-])c(N)c([N+](=O)[O-])c(N)c1[N+](=O)[O-],239,188
O=[N+]([O-])C12CC3([N+](=O)[O-])CC([N+](=O)[O-])(C1)CC([N+](=O)[O-])(C2)C3,240,165
COc1c([N+](=O)[O-])cc([N+](=O)[O-])c(OC)c1[N+](=O)[O-],251,182
O=[N+]([O-])c1cc([N+](=O)[O-])c(-c2cnc([N+](=O)[O-])[nH]2)c([N+](=O)[O-])c1,312,72
C[N+](=O)[O-],320,68
CN(C=O)[N+](=O)[O-],320,92
Nc1c([N+](=O)[O-])c(N)c([N+](=O)[O-])c(N)c1[N+](=O)[O-],490,166
